場所,芝ダ,距離,前走場所,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
京都,ダ,1400,中京,59,5,11,0.0847,0.1864,0.193548
京都,ダ,1400,中山,24,1,2,0.0417,0.0833,0.111111
京都,ダ,1400,京都,187,10,40,0.0535,0.2139,0.215789
京都,ダ,1400,名古,3,0,1,0.0,0.3333,0.333333
京都,ダ,1400,園田,8,0,2,0.0,0.25,0.272727
京都,ダ,1400,大井,2,0,0,0.0,0.0,0.2
京都,ダ,1400,小倉,21,3,5,0.1429,0.2381,0.25
京都,ダ,1400,川崎,2,0,0,0.0,0.0,0.2
京都,ダ,1400,新潟,8,0,1,0.0,0.125,0.181818
京都,ダ,1400,札幌,8,0,0,0.0,0.0,0.090909
京都,ダ,1400,東京,54,2,9,0.037,0.1667,0.175439
京都,ダ,1400,水沢,1,0,0,0.0,0.0,0.25
京都,ダ,1400,浦和,1,0,0,0.0,0.0,0.25
京都,ダ,1400,福島,17,0,2,0.0,0.1176,0.15
京都,ダ,1400,笠松,6,1,1,0.1667,0.1667,0.222222
京都,ダ,1400,船橋,1,0,0,0.0,0.0,0.25
京都,ダ,1400,金沢,2,0,0,0.0,0.0,0.2
京都,ダ,1400,阪神,188,18,46,0.0957,0.2447,0.246073
京都,ダ,1400,高知,2,0,0,0.0,0.0,0.2
京都,ダ,1800,,1,0,0,0.0,0.0,0.25
京都,ダ,1800,アメリカ,1,0,0,0.0,0.0,0.25
京都,ダ,1800,中京,61,4,14,0.0656,0.2295,0.234375
京都,ダ,1800,中山,70,3,11,0.0429,0.1571,0.164384
京都,ダ,1800,京都,265,25,76,0.0943,0.2868,0.287313
京都,ダ,1800,函館,4,0,1,0.0,0.25,0.285714
京都,ダ,1800,名古,4,0,0,0.0,0.0,0.142857
京都,ダ,1800,園田,8,0,0,0.0,0.0,0.090909
京都,ダ,1800,大井,3,1,2,0.3333,0.6667,0.5
京都,ダ,1800,姫路,1,0,0,0.0,0.0,0.25
京都,ダ,1800,小倉,47,5,9,0.1064,0.1915,0.2
京都,ダ,1800,川崎,3,0,0,0.0,0.0,0.166667
京都,ダ,1800,新潟,56,0,14,0.0,0.25,0.254237
京都,ダ,1800,札幌,18,1,5,0.0556,0.2778,0.285714
京都,ダ,1800,東京,36,2,5,0.0556,0.1389,0.153846
京都,ダ,1800,浦和,2,0,0,0.0,0.0,0.2
京都,ダ,1800,盛岡,1,0,0,0.0,0.0,0.25
京都,ダ,1800,福島,20,1,3,0.05,0.15,0.173913
京都,ダ,1800,笠松,6,0,0,0.0,0.0,0.111111
京都,ダ,1800,金沢,1,0,0,0.0,0.0,0.25
京都,ダ,1800,門別,1,0,0,0.0,0.0,0.25
京都,ダ,1800,阪神,220,23,55,0.1045,0.25,0.251121
京都,ダ,1800,高知,2,0,0,0.0,0.0,0.2
京都,ダ,1900,中京,35,2,10,0.0571,0.2857,0.289474
京都,ダ,1900,中山,34,3,12,0.0882,0.3529,0.351351
京都,ダ,1900,京都,98,8,26,0.0816,0.2653,0.267327
京都,ダ,1900,名古,1,0,0,0.0,0.0,0.25
京都,ダ,1900,園田,2,0,1,0.0,0.5,0.4
京都,ダ,1900,小倉,10,1,2,0.1,0.2,0.230769
京都,ダ,1900,新潟,17,0,0,0.0,0.0,0.05
京都,ダ,1900,札幌,3,0,1,0.0,0.3333,0.333333
京都,ダ,1900,東京,26,2,3,0.0769,0.1154,0.137931
京都,ダ,1900,福島,8,0,0,0.0,0.0,0.090909
京都,ダ,1900,笠松,1,0,0,0.0,0.0,0.25
京都,ダ,1900,船橋,3,0,0,0.0,0.0,0.166667
京都,ダ,1900,阪神,89,9,20,0.1011,0.2247,0.228261
京都,芝,1200,中京,17,1,3,0.0588,0.1765,0.2
京都,芝,1200,中山,26,1,3,0.0385,0.1154,0.137931
京都,芝,1200,京都,48,3,12,0.0625,0.25,0.254902
京都,芝,1200,函館,1,0,0,0.0,0.0,0.25
京都,芝,1200,園田,1,0,0,0.0,0.0,0.25
京都,芝,1200,大井,1,0,0,0.0,0.0,0.25
京都,芝,1200,小倉,27,3,5,0.1111,0.1852,0.2
京都,芝,1200,新潟,28,0,2,0.0,0.0714,0.096774
京都,芝,1200,札幌,10,0,2,0.0,0.2,0.230769
京都,芝,1200,東京,6,0,0,0.0,0.0,0.111111
京都,芝,1200,福島,22,4,9,0.1818,0.4091,0.4
京都,芝,1200,門別,1,0,0,0.0,0.0,0.25
京都,芝,1200,阪神,54,4,12,0.0741,0.2222,0.22807
京都,芝,1400,中京,50,0,10,0.0,0.2,0.207547
京都,芝,1400,中山,17,1,3,0.0588,0.1765,0.2
京都,芝,1400,京都,126,8,28,0.0635,0.2222,0.224806
京都,芝,1400,函館,4,0,0,0.0,0.0,0.142857
京都,芝,1400,名古,1,1,1,1.0,1.0,0.5
京都,芝,1400,園田,4,0,0,0.0,0.0,0.142857
京都,芝,1400,小倉,28,0,3,0.0,0.1071,0.129032
京都,芝,1400,新潟,28,1,3,0.0357,0.1071,0.129032
京都,芝,1400,札幌,10,1,2,0.1,0.2,0.230769
京都,芝,1400,東京,27,0,5,0.0,0.1852,0.2
京都,芝,1400,福島,12,0,0,0.0,0.0,0.066667
京都,芝,1400,笠松,1,0,0,0.0,0.0,0.25
京都,芝,1400,阪神,134,19,38,0.1418,0.2836,0.284672
京都,芝,1600,中京,35,2,9,0.0571,0.2571,0.263158
京都,芝,1600,中山,32,1,7,0.0312,0.2188,0.228571
京都,芝,1600,京都,148,8,41,0.0541,0.277,0.278146
京都,芝,1600,函館,1,0,0,0.0,0.0,0.25
京都,芝,1600,園田,3,0,1,0.0,0.3333,0.333333
京都,芝,1600,小倉,18,1,4,0.0556,0.2222,0.238095
京都,芝,1600,新潟,26,1,3,0.0385,0.1154,0.137931
京都,芝,1600,札幌,6,1,1,0.1667,0.1667,0.222222
京都,芝,1600,東京,33,3,6,0.0909,0.1818,0.194444
京都,芝,1600,福島,12,1,1,0.0833,0.0833,0.133333
京都,芝,1600,笠松,1,0,0,0.0,0.0,0.25
京都,芝,1600,船橋,1,0,0,0.0,0.0,0.25
京都,芝,1600,阪神,120,19,38,0.1583,0.3167,0.317073
