場所,芝ダ,距離,脚質,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
東京,芝,1600,逃げ,60,6,21,0.1,0.35,0.349206
東京,芝,1800,,4,0,0,0.0,0.0,0.142857
東京,芝,1800,まくり,2,0,1,0.0,0.5,0.4
東京,芝,1800,先行,167,19,57,0.1138,0.3413,0.341176
東京,芝,1800,差し,348,25,76,0.0718,0.2184,0.219373
東京,芝,1800,逃げ,60,8,22,0.1333,0.3667,0.365079
東京,芝,2000,,4,0,0,0.0,0.0,0.142857
東京,芝,2000,まくり,11,0,3,0.0,0.2727,0.285714
東京,芝,2000,先行,171,24,60,0.1404,0.3509,0.350575
東京,芝,2000,差し,342,23,78,0.0673,0.2281,0.228986
東京,芝,2000,逃げ,59,6,18,0.1017,0.3051,0.306452
東京,芝,2300,まくり,1,0,0,0.0,0.0,0.25
東京,芝,2300,先行,14,1,2,0.0714,0.1429,0.176471
東京,芝,2300,差し,20,3,9,0.15,0.45,0.434783
東京,芝,2300,逃げ,4,0,1,0.0,0.25,0.285714
東京,芝,2400,,1,0,0,0.0,0.0,0.25
東京,芝,2400,まくり,9,1,4,0.1111,0.4444,0.416667
東京,芝,2400,先行,147,18,57,0.1224,0.3878,0.386667
東京,芝,2400,差し,270,20,56,0.0741,0.2074,0.208791
東京,芝,2400,逃げ,48,6,18,0.125,0.375,0.372549
東京,芝,2500,先行,4,1,2,0.25,0.5,0.428571
東京,芝,2500,差し,2,0,1,0.0,0.5,0.4
東京,芝,2500,逃げ,1,0,0,0.0,0.0,0.25
福島,ダ,1150,,5,0,0,0.0,0.0,0.125
福島,ダ,1150,先行,175,24,69,0.1371,0.3943,0.393258
福島,ダ,1150,差し,531,12,51,0.0226,0.096,0.097378
福島,ダ,1150,逃げ,50,14,30,0.28,0.6,0.584906
福島,ダ,1700,,8,0,0,0.0,0.0,0.090909
福島,ダ,1700,まくり,10,2,5,0.2,0.5,0.461538
福島,ダ,1700,先行,212,33,89,0.1557,0.4198,0.418605
福島,ダ,1700,差し,567,16,63,0.0282,0.1111,0.112281
福島,ダ,1700,逃げ,66,11,29,0.1667,0.4394,0.434783
福島,芝,1200,,5,0,0,0.0,0.0,0.125
福島,芝,1200,先行,230,30,79,0.1304,0.3435,0.343348
福島,芝,1200,差し,605,20,82,0.0331,0.1355,0.136513
福島,芝,1200,逃げ,63,13,28,0.2063,0.4444,0.439394
福島,芝,1800,,4,0,0,0.0,0.0,0.142857
福島,芝,1800,まくり,4,0,2,0.0,0.5,0.428571
福島,芝,1800,先行,117,15,40,0.1282,0.3419,0.341667
福島,芝,1800,差し,296,11,38,0.0372,0.1284,0.130435
福島,芝,1800,逃げ,31,5,13,0.1613,0.4194,0.411765
福島,芝,2000,,1,0,0,0.0,0.0,0.25
福島,芝,2000,まくり,5,0,0,0.0,0.0,0.125
福島,芝,2000,先行,102,11,40,0.1078,0.3922,0.390476
福島,芝,2000,差し,246,13,38,0.0528,0.1545,0.156627
福島,芝,2000,逃げ,32,5,9,0.1562,0.2812,0.285714
福島,芝,2600,,1,0,0,0.0,0.0,0.25
福島,芝,2600,まくり,8,2,5,0.25,0.625,0.545455
福島,芝,2600,先行,78,9,27,0.1154,0.3462,0.345679
福島,芝,2600,差し,202,8,29,0.0396,0.1436,0.146341
福島,芝,2600,逃げ,28,5,11,0.1786,0.3929,0.387097
阪神,ダ,1200,,8,0,0,0.0,0.0,0.090909
阪神,ダ,1200,先行,240,31,85,0.1292,0.3542,0.353909
阪神,ダ,1200,差し,609,27,82,0.0443,0.1346,0.135621
阪神,ダ,1200,逃げ,62,4,19,0.0645,0.3065,0.307692
阪神,ダ,1400,,3,0,0,0.0,0.0,0.166667
阪神,ダ,1400,先行,262,39,95,0.1489,0.3626,0.362264
阪神,ダ,1400,差し,669,26,95,0.0389,0.142,0.142857
阪神,ダ,1400,逃げ,69,4,17,0.058,0.2464,0.25
