競馬場,芝ダ,距離数値,前走場所,件数,勝利数,複勝数,勝率,複勝率,単回収率,複回収率
福島,芝,2600.0,阪神,23,3,5,0.1304,0.2174,226.4,55.2
福島,芝,2600.0,中京,22,2,5,0.0909,0.2273,159.1,70.5
福島,芝,2750.0,小倉,23,2,4,0.087,0.1739,71.3,27.4
福島,芝,3380.0,小倉,23,2,5,0.087,0.2174,94.9,53.9
阪神,ダ,1200.0,阪神,407,29,97,0.0713,0.2383,99.3,76.1
阪神,ダ,1200.0,中京,208,12,38,0.0577,0.1827,113.6,72.2
阪神,ダ,1200.0,京都,133,16,40,0.1203,0.3008,245.8,106.1
阪神,ダ,1200.0,中山,114,3,13,0.0263,0.114,70.4,27.7
阪神,ダ,1200.0,小倉,99,6,21,0.0606,0.2121,108.0,96.3
阪神,ダ,1200.0,福島,50,3,4,0.06,0.08,132.3,20.8
阪神,ダ,1200.0,新潟,49,5,10,0.102,0.2041,186.1,75.5
阪神,ダ,1200.0,東京,40,2,4,0.05,0.1,112.0,25.8
阪神,ダ,1400.0,阪神,450,34,102,0.0756,0.2267,104.9,70.0
阪神,ダ,1400.0,中京,253,20,62,0.0791,0.2451,136.3,86.2
阪神,ダ,1400.0,京都,162,10,34,0.0617,0.2099,86.0,49.7
阪神,ダ,1400.0,東京,153,19,43,0.1242,0.281,148.3,68.6
阪神,ダ,1400.0,小倉,100,4,15,0.04,0.15,85.1,53.8
阪神,ダ,1400.0,中山,56,2,5,0.0357,0.0893,226.2,33.9
阪神,ダ,1400.0,新潟,33,1,2,0.0303,0.0606,113.4,17.9
阪神,ダ,1400.0,福島,29,0,4,0.0,0.1379,117.4,43.1
阪神,ダ,1400.0,札幌,25,1,3,0.04,0.12,72.4,44.8
阪神,ダ,1800.0,阪神,578,54,152,0.0934,0.263,106.2,70.2
阪神,ダ,1800.0,中京,338,30,91,0.0888,0.2692,118.7,70.7
阪神,ダ,1800.0,京都,221,20,57,0.0905,0.2579,98.2,75.0
阪神,ダ,1800.0,小倉,181,10,34,0.0552,0.1878,100.4,77.7
阪神,ダ,1800.0,東京,102,6,17,0.0588,0.1667,85.3,34.8
阪神,ダ,1800.0,中山,86,5,17,0.0581,0.1977,283.7,91.7
阪神,ダ,1800.0,新潟,78,4,17,0.0513,0.2179,113.5,67.4
阪神,ダ,1800.0,札幌,48,3,10,0.0625,0.2083,88.8,111.0
阪神,ダ,1800.0,福島,41,5,12,0.122,0.2927,131.0,74.6
阪神,ダ,2000.0,阪神,122,11,28,0.0902,0.2295,91.0,59.4
阪神,ダ,2000.0,中京,72,5,16,0.0694,0.2222,57.6,68.6
阪神,ダ,2000.0,京都,46,4,8,0.087,0.1739,132.4,47.0
阪神,ダ,2000.0,東京,41,5,16,0.122,0.3902,110.9,177.3
阪神,ダ,2000.0,小倉,27,1,7,0.037,0.2593,104.1,92.2
阪神,ダ,2000.0,中山,21,1,5,0.0476,0.2381,120.7,73.8
阪神,ダ,2000.0,新潟,21,1,6,0.0476,0.2857,207.9,88.6
阪神,ダ,3110.0,新潟,29,4,10,0.1379,0.3448,118.7,106.2
阪神,芝,1200.0,阪神,89,7,23,0.0787,0.2584,89.9,56.5
阪神,芝,1200.0,小倉,87,6,15,0.069,0.1724,220.3,80.8
阪神,芝,1200.0,中京,59,8,16,0.1356,0.2712,154.5,69.3
阪神,芝,1200.0,京都,58,5,14,0.0862,0.2414,150.4,56.7
阪神,芝,1200.0,中山,42,0,7,0.0,0.1667,42.0,65.2
阪神,芝,1200.0,新潟,36,1,7,0.0278,0.1944,88.9,173.1
阪神,芝,1200.0,札幌,23,2,5,0.087,0.2174,64.0,43.5
阪神,芝,1200.0,東京,23,1,6,0.0435,0.2609,73.2,78.7
阪神,芝,1200.0,福島,22,3,6,0.1364,0.2727,640.3,195.0
阪神,芝,1400.0,阪神,226,17,50,0.0752,0.2212,113.3,68.5
阪神,芝,1400.0,中京,125,14,30,0.112,0.24,134.4,86.1
阪神,芝,1400.0,京都,92,5,19,0.0543,0.2065,103.4,83.3
阪神,芝,1400.0,小倉,83,2,13,0.0241,0.1566,129.1,43.6
阪神,芝,1400.0,東京,82,5,18,0.061,0.2195,75.6,73.4
阪神,芝,1400.0,中山,51,2,13,0.0392,0.2549,84.5,76.1
阪神,芝,1400.0,新潟,30,4,8,0.1333,0.2667,431.4,186.7
阪神,芝,1600.0,阪神,270,25,68,0.0926,0.2519,148.1,70.9
