場所,芝ダ,距離,前走場所,母数,勝利数,複勝数,単勝率,複勝率
東京,ダ,1400,浦和,7,0,0,0.0,0.0
東京,ダ,1400,盛岡,2,0,0,0.0,0.0
東京,ダ,1400,福島,67,3,6,0.0448,0.0896
東京,ダ,1400,笠松,11,0,0,0.0,0.0
東京,ダ,1400,船橋,1,0,0,0.0,0.0
東京,ダ,1400,金沢,5,0,0,0.0,0.0
東京,ダ,1400,門別,1,0,0,0.0,0.0
東京,ダ,1400,阪神,139,11,28,0.0791,0.2014
東京,ダ,1400,高知,3,0,0,0.0,0.0
東京,ダ,1400,ｱﾗ首,1,0,1,0.0,1.0
東京,ダ,1600,中京,107,7,23,0.0654,0.215
東京,ダ,1600,中山,343,26,65,0.0758,0.1895
東京,ダ,1600,京都,51,2,8,0.0392,0.1569
東京,ダ,1600,佐賀,1,0,0,0.0,0.0
東京,ダ,1600,函館,11,0,0,0.0,0.0
東京,ダ,1600,名古,5,0,2,0.0,0.4
東京,ダ,1600,園田,8,1,1,0.125,0.125
