前走競馬場,前走芝ダ,前走距離数値,前3角位置カテゴリ,件数,勝利数,複勝数,単勝払戻合計,複勝払戻合計,勝率,複勝率,単回収率,複回収率
中山,芝,1200,7-10番手,297,15,51,21420.0,24330.0,5.05,17.17,72.12,81.92
中山,芝,1200,11番手以下,113,2,14,1710.0,6560.0,1.77,12.39,15.13,58.05
中山,芝,1600,1番手,85,10,15,6800.0,2980.0,11.76,17.65,80.0,35.06
中山,芝,1600,2-3番手,216,18,58,10400.0,15100.0,8.33,26.85,48.15,69.91
中山,芝,1600,4-6番手,194,11,51,18260.0,15450.0,5.67,26.29,94.12,79.64
中山,芝,1600,7-10番手,371,21,78,16110.0,28590.0,5.66,21.02,43.42,77.06
中山,芝,1600,11番手以下,128,8,19,15910.0,7530.0,6.25,14.84,124.3,58.83
中山,芝,1800,1番手,54,7,11,13340.0,4390.0,12.96,20.37,247.04,81.3
中山,芝,1800,2-3番手,119,11,37,11150.0,10950.0,9.24,31.09,93.7,92.02
中山,芝,1800,4-6番手,121,12,36,5260.0,10570.0,9.92,29.75,43.47,87.36
中山,芝,1800,7-10番手,233,20,50,29070.0,21160.0,8.58,21.46,124.76,90.82
中山,芝,1800,11番手以下,87,3,14,2490.0,3960.0,3.45,16.09,28.62,45.52
中山,芝,2000,1番手,56,3,11,1060.0,3000.0,5.36,19.64,18.93,53.57
中山,芝,2000,2-3番手,134,12,36,4250.0,8450.0,8.96,26.87,31.72,63.06
中山,芝,2000,4-6番手,163,16,42,12350.0,12190.0,9.82,25.77,75.77,74.79
中山,芝,2000,7-10番手,268,22,74,12710.0,22170.0,8.21,27.61,47.43,82.72
中山,芝,2000,11番手以下,98,5,21,6150.0,8630.0,5.1,21.43,62.76,88.06
中山,芝,2200,1番手,25,1,6,140.0,1790.0,4.0,24.0,5.6,71.6
中山,芝,2200,2-3番手,52,7,16,2830.0,3510.0,13.46,30.77,54.42,67.5
中山,芝,2200,4-6番手,55,6,17,3470.0,3780.0,10.91,30.91,63.09,68.73
中山,芝,2200,7-10番手,100,12,35,4590.0,7310.0,12.0,35.0,45.9,73.1
中山,芝,2200,11番手以下,38,0,4,0.0,690.0,0.0,10.53,0.0,18.16
中山,芝,2500,1番手,23,2,3,730.0,590.0,8.7,13.04,31.74,25.65
中山,芝,2500,2-3番手,58,5,16,1900.0,3700.0,8.62,27.59,32.76,63.79
中山,芝,2500,4-6番手,50,2,11,1360.0,3700.0,4.0,22.0,27.2,74.0
中山,芝,2500,7-10番手,101,8,20,8250.0,6540.0,7.92,19.8,81.68,64.75
中山,芝,2500,11番手以下,39,0,7,0.0,4540.0,0.0,17.95,0.0,116.41
京都,ダ,1200,1番手,48,10,19,3650.0,4010.0,20.83,39.58,76.04,83.54
京都,ダ,1200,2-3番手,125,13,45,9770.0,13330.0,10.4,36.0,78.16,106.64
京都,ダ,1200,4-6番手,97,9,22,9210.0,6660.0,9.28,22.68,94.95,68.66
京都,ダ,1200,7-10番手,200,10,39,15710.0,18180.0,5.0,19.5,78.55,90.9
京都,ダ,1200,11番手以下,72,1,6,670.0,1530.0,1.39,8.33,9.31,21.25
京都,ダ,1400,1番手,51,10,16,25200.0,7420.0,19.61,31.37,494.12,145.49
京都,ダ,1400,2-3番手,121,9,28,10750.0,13300.0,7.44,23.14,88.84,109.92
京都,ダ,1400,4-6番手,110,7,30,3840.0,7810.0,6.36,27.27,34.91,71.0
京都,ダ,1400,7-10番手,201,13,34,8370.0,11710.0,6.47,16.92,41.64,58.26
京都,ダ,1400,11番手以下,85,3,12,2460.0,4060.0,3.53,14.12,28.94,47.76
京都,ダ,1800,1番手,66,8,23,5950.0,5110.0,12.12,34.85,90.15,77.42
京都,ダ,1800,2-3番手,176,19,48,19750.0,16210.0,10.8,27.27,112.22,92.1
京都,ダ,1800,4-6番手,169,17,46,12250.0,14950.0,10.06,27.22,72.49,88.46
京都,ダ,1800,7-10番手,304,17,74,17660.0,25510.0,5.59,24.34,58.09,83.91
京都,ダ,1800,11番手以下,107,3,20,1220.0,5860.0,2.8,18.69,11.4,54.77
京都,ダ,1900,1番手,25,2,7,1470.0,3570.0,8.0,28.0,58.8,142.8
京都,ダ,1900,2-3番手,69,10,22,4860.0,4390.0,14.49,31.88,70.43,63.62
京都,ダ,1900,4-6番手,52,6,13,2770.0,4950.0,11.54,25.0,53.27,95.19
京都,ダ,1900,7-10番手,122,12,33,16890.0,11340.0,9.84,27.05,138.44,92.95
京都,ダ,1900,11番手以下,40,0,3,0.0,1190.0,0.0,7.5,0.0,29.75
京都,芝,1200,1番手,25,4,7,3240.0,2360.0,16.0,28.0,129.6,94.4
京都,芝,1200,2-3番手,62,4,14,3400.0,3500.0,6.45,22.58,54.84,56.45
京都,芝,1200,4-6番手,61,7,20,2660.0,3490.0,11.48,32.79,43.61,57.21
京都,芝,1200,7-10番手,120,9,25,13890.0,8090.0,7.5,20.83,115.75,67.42
京都,芝,1200,11番手以下,52,2,9,1740.0,4640.0,3.85,17.31,33.46,89.23
京都,芝,1400,1番手,33,4,11,2250.0,3350.0,12.12,33.33,68.18,101.52
京都,芝,1400,2-3番手,89,10,29,9080.0,6890.0,11.24,32.58,102.02,77.42
京都,芝,1400,4-6番手,92,12,27,5530.0,6040.0,13.04,29.35,60.11,65.65
京都,芝,1400,7-10番手,163,4,27,1160.0,9250.0,2.45,16.56,7.12,56.75
